Sample#,LR,DT,RF,Kmeans,adj_Kmeans,adj_corr
580,0.14730190706662244,0.14847576915392122,0.13285540743893434,0.0,0.0,-1.0
590,0.14759250445505767,0.14879574536223075,0.13229692191836878,0.0,0.0,-1.0
600,0.1479364314652977,0.15736725523106174,0.13412964911373756,0.0,0.0,-1.0
610,0.14776055681305098,0.15928326748153834,0.13422000673123993,0.0,0.0,-1.0
620,0.14725893689557829,0.1571839832045604,0.13353304010133288,0.0,0.0,-1.0
630,0.14735437354662512,0.15730570750794726,0.13437214469714798,0.0,0.0,-1.0
640,0.1483335649346596,0.15771887343181398,0.13421702770574537,0.0,0.0,-1.0
650,0.14874847167017036,0.15787552303677768,0.13554600925799315,0.0,0.0,-1.0
660,0.14885106995842995,0.1577263893434893,0.13494032945677223,0.0,0.0,-1.0
670,0.14851135588038153,0.15773383557197526,0.13551448988254503,0.0,0.0,-1.0
680,0.14849560297102285,0.15780608172157656,0.13514452671808866,0.0,0.0,-1.0
690,0.14809117587141624,0.15768374641843935,0.1350878293351766,0.0,0.0,-1.0
700,0.14774348521369018,0.15748505896250817,0.13382003846899007,0.0,0.0,-1.0
710,0.14717873915172788,0.15737808229595163,0.13464465978509108,0.0,0.0,-1.0
720,0.14656181887310682,0.15719256528075168,0.13564933186637396,0.0,0.0,-1.0
730,0.14683417590249673,0.1570286236891793,0.13562989740474996,0.0,0.0,-1.0
740,0.14638450848662238,0.157000138557145,0.13489830348529916,0.0,0.0,-1.0
750,0.14623287007226915,0.15700499729251838,0.13722051131219798,0.0,0.0,-1.0
760,0.1460686258656171,0.15719292217849418,0.13424916935639897,0.0,0.0,-1.0
770,0.14540061464692858,0.15728873801410856,0.13558051180521846,0.0,0.0,-1.0
780,0.14539037794238452,0.15694112791346482,0.1342467992755891,0.0,0.0,-1.0
790,0.14548322220682333,0.1570381443132511,0.13448121362937804,0.0,0.0,-1.0
800,0.14525672662810704,0.1570471994151205,0.13434596702232646,0.0,0.0,-1.0
810,0.14512911532139042,0.15679427272646854,0.13497456670304572,0.0,0.0,-1.0
820,0.1450949739280954,0.1565569954061823,0.13426806532773156,0.0,0.0,-1.0
830,0.14511974599233565,0.15649998516975,0.13494954470730053,0.0,0.0,-1.0
840,0.14560883443228814,0.15659008274473044,0.1368558958602899,0.0,0.0,-1.0
850,0.14571159882899082,0.15688636981270324,0.13608819039316536,0.0,0.0,-1.0
860,0.1453500988097014,0.15691417285005332,0.1374094245383649,0.0,0.0,-1.0
870,0.14516922626630638,0.1570707785648624,0.13734718308331215,0.0,0.0,-1.0
880,0.14471748165077508,0.15751650462448408,0.1375634651318449,0.0,0.0,-1.0
890,0.14538787299204303,0.1573804492408953,0.1372326622747201,0.0,0.0,-1.0
900,0.14528772385942065,0.1572522565759373,0.1365365737068166,0.0,0.0,-1.0
910,0.1446069598442842,0.15717309931215198,0.13569030715461772,0.0,0.0,-1.0
920,0.14435213974242975,0.15775459358699484,0.13524177030947215,0.0,0.0,-1.0
930,0.14573835849027753,0.15780364899630242,0.13584595641225405,0.0,0.0,-1.0
940,0.1456587799442907,0.15779736652052342,0.13397033101051853,0.0,0.0,-1.0
950,0.14577260355767566,0.15779754920847658,0.1345730878580127,0.0,0.0,-1.0
960,0.1458468410108777,0.1578520290736849,0.13591205542522236,0.0,0.0,-1.0
970,0.14577560597079567,0.15780947861105718,0.13512993099351758,0.0,0.0,-1.0
980,0.14573818842103703,0.15771828662350904,0.13508893621468723,0.0,0.0,-1.0
990,0.14552831605836586,0.157551914613684,0.13425033517575619,0.0,0.0,-1.0
1000,0.14515235680918562,0.15741541596049105,0.13473330661108654,0.0,0.0,-1.0
